U70;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
183700;Head of State;Li Zongren;1936;1964;1999;PA;Resigned Generalissimo;High;620;X
183701;Head of Government;Li Zongren;1936;1964;1999;PA;Corporate Suit;High;M52031;X
183702;Foreign Minister;Li Zongren;1936;1964;1999;PA;Iron Fisted Brute;High;620;X
183703;Minister of Armament;Yu Hanmou;1936;1962;1962;PA;Infantry Proponent;Medium;M502004;X
183704;Minister of Security;Jiang Jingguo;1933;1964;1999;SC;Man of the People;Very High;M52055;x
183705;Head of Military Intelligence;Yang Xuancheng;1933;1964;1999;PA;Naval Intelligence Specialist;Very High;M52082;X
183706;Chief of Staff;Bai Chongxi;1936;1964;1999;PA;School of Manoeuvre;Medium;M502007;X
183707;Chief of Army;Li Zongren;1936;1964;1999;SC;Static Defence Doctrine;High;M52031;X
183708;Chief of Navy;Bai Chongxi;1936;1964;1999;PA;Indirect Approach Doctrine;High;M502007;X
183709;Chief of Air Force;Huang Shaohong;1936;1964;1999;SC;Air Superiority Doctrine;High;9416;X
