U69;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
183710;Head of State;Ma Ji;1936;1964;1999;FA;autocratic charmer;High;Ma Chi;X
183711;Head of Government;Ma Ji;1936;1964;1999;FA;happy amateur;High;Ma Chi;X
183712;Minister of Armament;Chen Bingkun;1936;1964;1999;FA;Resource Industrialist;Medium;9546;X
183713;Head of Military Intelligence;Zhu Qinglan;1936;1964;1999;FA;Dismal Enigma;Medium;9547;X
183714;Minister of Security;Zhu Qinglan;1936;1964;1999;FA;Man of the People;Medium;9547;X
183715;Chief of Staff;Li Jishen;1936;1964;1999;FA;School of Manoeuvre;Medium;2333;X
183716;Chief of Army;Chen Jitang;1936;1964;1999;PA;Guns and Butter Doctrine;Medium;M502008;X
183717;Chief of Navy;Lin Baoyi;1936;1964;1999;PA;Decisive Naval Battle Doctrine;High;9550;X
183718;Chief of Air Force;Ma Ji;1936;1964;1999;SC;Air Superiority Doctrine;High;Ma Chi;X
183719;Foreign Minister;Ma Ji;1936;1964;1999;PA;Biased Intellectual;High;Ma Chi;X
