U87;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1250054;Head of Government;Wang Jingwei;1936;1970;1999;LWR;Old General;High;Kaiserreich Wang Jingwei;X
1250001;Head of State;Sun Fo;1936;1970;1999;SL;Benevolent Gentleman;High;CHISunfo;X
1250494;Head of Military Intelligence;He Zhonghan;1936;1970;1999;LE;Logistics Specialist;High;M52084;X
1250040;Head of Government;Sun Fo;1936;1970;1999;SL;Political Protege;High;CHISunfo;X
1250041;Head of State;Wang Jingwei;1936;1970;1999;LWR;Die-hard Reformer;High;M52041;X
1250061;Chief of Staff;Wang Jingwei;1936;1970;1999;LWR;School of Fire Support;High;CHIWangjing;X
1250069;Head of State;Soong Qingling;1936;1970;1999;SD;Madame Sun;High;CHIMadame;X
1250129;Head of Government;Soong Qingling;1936;1970;1999;SD;Flamboyant Tough Guy;High;CHIMadame;X
1250538;Head of Government;Li Dazhao;1936;1970;1999;LE;Flamboyant Tough Guy;High;Li_Dazhao;X
1250130;Head of State;Chen Geng;1936;1970;1999;LE;Weary Stiffneck;High;CYN_geng;X
1250154;Head of Government;Chen Geng;1936;1970;1999;LE;Happy Amateur;High;CYN_geng;X
1250553;Head of Government;Shao Shiping;1936;1970;1999;LE;Reformist Soldierhog;High;Shao_Shiping;X
12500164;Chief of Army;Chen Geng;1936;1970;1999;LE;Elastic Defence Doctrine;High;CYN_geng;X
12500166;Chief of Staff;Chen Geng;1936;1970;1999;LE;School of Fire Support;High;CYN_geng;X
12500536;Chief of Staff;Jiang Xianyun;1936;1970;1999;LE;Commando Doctrine Staff;High;Jiang_Xianyun;X
12500167;Head of Government;Zhou Fohai;1933;1964;1999;LWR;Political Protege;Very High;8142;X
12500212;Minister of Armament;Chen Gongbo;1936;1970;1999;LWR;Mixed Economy;High;M52014;X
12500213;Chief of Navy;Chen Jiliang;1936;1970;1999;LWR;Decisive Naval Battle Doctrine;High;M52103;X
12500544;Chief of Navy;Lin Zun;1936;1970;1999;LWR;Indirect Approach Doctrine;High;Lin_Zun;X
12500550;Chief of Navy;Pan Wenzhi;1936;1970;1999;LWR;Base Control Doctrine;High;Pan_Wenzhi;X
12500215;Head of Government;Chiang Ching-kuo;1936;1970;1999;SD;Political Protege;High;M52055;X
12500492;Minister of Security;Chiang Ching-kuo;1936;1970;1999;SD;Man of the People;High;M52055;X
12500493;Minister of Armament;Chiang Ching-kuo;1936;1970;1999;SD;Construction Magnate;High;M52055;X
12500559;Minister of Armament;Xiang Jingyu;1936;1970;1999;SD;Administrative Genius;High;Xiang_Jingyu;X
12500495;Head of Government;Li Jishen;1936;1970;1999;SD;Old General;High;L502003;X
12500496;Chief of Army;Li Jishen;1936;1970;1999;SD;Decisive Battle Doctrine;High;L502003;X
12500562;Chief of Army;Yan Lisan;1936;1970;1999;LWR;Decisive Battle Doctrine;High;Yan_Lisan;X
12500497;Chief of Staff;Li Jishen;1936;1970;1999;SD;School of Mass Combat;High;L502003;X
12500498;Head of Government;Li Liejun;1936;1970;1999;SL;Old General;High;Li Liejun;X
12500499;Head of Military Intelligence;Li Liejun;1936;1970;1999;SL;Logistics Specialist;High;Li Liejun;X
12500547;Head of Military Intelligence;Mao Renfeng;1936;1970;1999;ST;Logistics Specialist;High;M52080;X
12500548;Minister of Security;Mao Renfeng;1936;1970;1999;ST;Secret Police Chief;High;M52080;X
12500500;Chief of Staff;Li Liejun;1936;1970;1999;SL;School of Fire Support;High;Li Liejun;X
12500501;Chief of Army;Li Liejun;1936;1970;1999;SL;Guns and Butter Doctrine;High;Li Liejun;X
12500502;Chief of Army;Liao Yaoxiang;1936;1970;1999;LWR;Guns and Butter Doctrine;High;L50195;X
